Slit_separation_fs,Frequency_THz,Intensity,Series
1299.99999999995,239.195896451661,0.0611306666666666,model
1299.99999999995,239.157779254893,-0.233202666666666,model
1299.99999999995,239.119675484607,0.095964,model
1299.99999999995,239.081585134277,0.0425973333333333,model
1299.99999999995,239.043508197384,-0.100036,model
1299.99999999995,239.00544466741,0.004964,model
1299.99999999995,238.967394537844,0.119397333333333,model
1299.99999999995,238.929357802177,0.0734973333333333,model
1299.99999999995,238.891334453907,-0.0265026666666666,model
1299.99999999995,238.853324486533,0.127564,model
1299.99999999995,238.81532789356,0.0227973333333333,model
1299.99999999995,238.777344668497,-0.00336933333333333,model
1299.99999999995,238.739374804858,-0.0246693333333333,model
1299.99999999995,238.701418296158,-0.202136,model
1299.99999999995,238.663475135921,-0.172536,model
1299.99999999995,238.625545317671,-0.104369333333333,model
1299.99999999995,238.587628834937,-0.0450026666666666,model
1299.99999999995,238.549725681255,0.0316973333333333,model
1299.99999999995,238.511835850162,-0.00243599999999999,model
1299.99999999995,238.473959335201,0.154164,model
1299.99999999995,238.436096129917,-0.055936,model
1299.99999999995,238.398246227862,-0.104069333333333,model
1299.99999999995,238.360409622589,-0.0199693333333333,model
1299.99999999995,238.322586307659,-0.175036,model
1299.99999999995,238.284776276634,-0.143236,model
1299.99999999995,238.246979523081,0.153497333333333,model
1299.99999999995,238.209196040572,-0.0489693333333333,model
1299.99999999995,238.171425822681,-0.118369333333333,model
1299.99999999995,238.13366886299,-0.211902666666666,model
1299.99999999995,238.09592515508,-0.278936,model
1299.99999999995,238.058194692541,-0.146402666666666,model
1299.99999999995,238.020477468963,-0.224002666666666,model
1299.99999999995,237.982773477944,-0.209702666666666,model
1299.99999999995,237.945082713083,-0.067536,model
1299.99999999995,237.907405167985,0.0269973333333333,model
1299.99999999995,237.869740836258,-0.0680026666666666,model
1299.99999999995,237.832089711514,-0.0266026666666666,model
1299.99999999995,237.794451787371,-0.155669333333333,model
1299.99999999995,237.756827057449,0.010564,model
1299.99999999995,237.719215515372,0.00969733333333333,model
1299.99999999995,237.681617154771,-0.0277693333333333,model
1299.99999999995,237.644031969277,-0.0385693333333333,model
1299.99999999995,237.606459952527,-0.0333693333333333,model
1299.99999999995,237.568901098164,0.192330666666666,model
1299.99999999995,237.531355399832,-0.252969333333333,model
1299.99999999995,237.493822851181,-0.240202666666666,model
1299.99999999995,237.456303445863,0.105230666666666,model
1299.99999999995,237.418797177537,-0.0440693333333333,model
1299.99999999995,237.381304039864,0.00789733333333333,model
1299.99999999995,237.34382402651,-0.0507359999999999,model
1299.99999999995,237.306357131144,-0.193602666666666,model
1299.99999999995,237.26890334744,0.0481306666666666,model
1299.99999999995,237.231462669076,-0.056436,model
1299.99999999995,237.194035089733,0.010264,model
1299.99999999995,237.156620603098,0.0767306666666666,model
1299.99999999995,237.11921920286,-0.0323693333333333,model
1299.99999999995,237.081830882714,-0.017336,model
1299.99999999995,237.044455636357,0.00389733333333333,model
1299.99999999995,237.007093457492,0.00383066666666666,model
1299.99999999995,236.969744339824,-0.094636,model
1299.99999999995,236.932408277063,-0.269536,model
1299.99999999995,236.895085262924,0.0196973333333333,model
1299.99999999995,236.857775291126,0.066664,model
1299.99999999995,236.820478355389,0.108997333333333,model
1299.99999999995,236.78319444944,-0.180502666666666,model
1299.99999999995,236.74592356701,-0.209636,model
1299.99999999995,236.708665701832,0.0374306666666666,model
1299.99999999995,236.671420847645,-0.0918693333333333,model
1299.99999999995,236.634188998191,-0.220669333333333,model
1299.99999999995,236.596970147216,0.287730666666666,model
1299.99999999995,236.559764288471,-0.0291693333333333,model
1299.99999999995,236.522571415709,0.105797333333333,model
1299.99999999995,236.485391522688,-0.210536,model
1299.99999999995,236.448224603172,0.0590306666666666,model
1299.99999999995,236.411070650925,0.107230666666666,model
1299.99999999995,236.373929659719,0.154230666666666,model
1299.99999999995,236.336801623327,-0.106802666666666,model
1299.99999999995,236.299686535527,0.058064,model
1299.99999999995,236.262584390102,0.166264,model
1299.99999999995,236.225495180837,0.071764,model
1299.99999999995,236.188418901523,-0.0474693333333333,model
1299.99999999995,236.151355545952,0.00219733333333333,model
1299.99999999995,236.114305107924,-0.0333693333333333,model
1299.99999999995,236.07726758124,-0.188369333333333,model
1299.99999999995,236.040242959706,-0.171936,model
1299.99999999995,236.003231237131,-0.219069333333333,model
1299.99999999995,235.96623240733,-0.0151026666666666,model
1299.99999999995,235.929246464119,-0.116869333333333,model
1299.99999999995,235.892273401321,-0.0757693333333333,model
1299.99999999995,235.855313212761,0.154430666666666,model
1299.99999999995,235.818365892268,-0.0107693333333333,model
1299.99999999995,235.781431433677,0.129830666666666,model
1299.99999999995,235.744509830823,-0.0270359999999999,model
1299.99999999995,235.707601077549,0.0515306666666666,model
1299.99999999995,235.670705167699,-0.0301026666666666,model
1299.99999999995,235.633822095122,0.0185973333333333,model
1299.99999999995,235.596951853672,-0.044936,model
1299.99999999995,235.560094437206,0.065864,model
1299.99999999995,235.523249839583,0.0449306666666666,model
1299.99999999995,235.486418054669,-0.0942693333333333,model
1299.99999999995,235.449599076333,-0.0297026666666666,model
1299.99999999995,235.412792898447,-0.094136,model
1299.99999999995,235.375999514887,0.192497333333333,model
1299.99999999995,235.339218919533,0.058664,model
1299.99999999995,235.30245110627,-0.164436,model
1299.99999999995,235.265696068986,0.197964,model
1299.99999999995,235.228953801573,0.165830666666666,model
1299.99999999995,235.192224297926,0.156630666666666,model
1299.99999999995,235.155507551945,0.075064,model
1299.99999999995,235.118803557534,-0.0821026666666666,model
1299.99999999995,235.082112308601,0.077164,model
1299.99999999995,235.045433799055,0.266964,model
1299.99999999995,235.008768022814,-0.032336,model
1299.99999999995,234.972114973795,-0.0366359999999999,model
1299.99999999995,234.935474645921,-0.250036,model
1299.99999999995,234.89884703312,0.182097333333333,model
1299.99999999995,234.862232129322,-0.0244693333333333,model
1299.99999999995,234.825629928461,0.0933306666666666,model
1299.99999999995,234.789040424475,-0.127136,model
1299.99999999995,234.752463611307,0.0873973333333333,model
1299.99999999995,234.715899482903,-0.00106933333333333,model
1299.99999999995,234.679348033212,0.0911306666666666,model
1299.99999999995,234.642809256189,0.125430666666666,model
1299.99999999995,234.606283145789,0.0406973333333333,model
1299.99999999995,234.569769695976,-0.00343599999999999,model
1299.99999999995,234.533268900714,0.101364,model
1299.99999999995,234.496780753971,0.143164,model
1299.99999999995,234.460305249721,-0.050536,model
1299.99999999995,234.42384238194,0.127330666666666,model
1299.99999999995,234.387392144609,0.057964,model
1299.99999999995,234.350954531711,-0.096036,model
1299.99999999995,234.314529537235,-0.00226933333333333,model
1299.99999999995,234.278117155173,-0.0313026666666666,model
1299.99999999995,234.24171737952,0.0330306666666666,model
1299.99999999995,234.205330204275,0.132464,model
1299.99999999995,234.168955623442,0.0315973333333333,model
1299.99999999995,234.132593631027,0.00229733333333333,model
1299.99999999995,234.096244221042,-0.251969333333333,model
1299.99999999995,234.059907387501,0.149497333333333,model
1299.99999999995,234.023583124422,0.114264,model
1299.99999999995,233.987271425828,-0.0746026666666666,model
1299.99999999995,233.950972285744,0.00613066666666667,model
1299.99999999995,233.9146856982,0.0600973333333333,model
1299.99999999995,233.878411657229,0.0225973333333333,model
1299.99999999995,233.842150156868,-0.0429359999999999,model
