Slit_separation_fs,Delay_fs,Reflectivity,Series
-1500.0,239817.84401029398,0.00048969798626578,model
-1500.0,239937.134114882,0.000433203673583627,model
-1500.0,240056.42421946902,0.000540077290282761,model
-1500.0,240175.714324057,0.000667067329060581,model
-1500.0,240295.004428645,0.000656107872720774,model
-1500.0,240414.29453323202,0.000511165745870187,model
-1500.0,240533.58463782005,0.000385997244371005,model
-1500.0,240652.874742407,0.000405432931646967,model
-1500.0,240772.16484699503,0.000527582701164138,model
-1500.0,240891.454951583,0.000598344372060116,model
-1500.0,241010.74505617,0.000528508567205148,model
-1500.0,241130.03516075804,0.000390274632860407,model
-1500.0,241249.32526534502,0.000329269519726882,model
-1500.0,241368.61536993302,0.00039877352739242,model
-1500.0,241487.905474521,0.000504332840309901,model
-1500.0,241607.19557910797,0.000515779772295213,model
-1500.0,241726.48568369602,0.000414035105013554,model
-1500.0,241845.775788283,0.000307561443806534,model
-1500.0,241965.06589287097,0.000305749572936603,model
-1500.0,242084.35599745903,0.000396710646390656,model
-1500.0,242203.646102046,0.000465739398027021,model
-1500.0,242322.93620663398,0.000427682523329375,model
-1500.0,242442.226311221,0.000320839362005398,model
-1500.0,242561.51641580902,0.00025901361588046,model
-1500.0,242680.806520397,0.000301302954468203,model
-1500.0,242800.096624984,0.00038829689418476,model
-1500.0,242919.38672957203,0.000413230190314611,model
-1500.0,243038.67683415904,0.000343192739650758,model
-1500.0,243157.966938747,0.000252916905212148,model
-1500.0,243277.25704333498,0.000237037532462515,model
-1500.0,243396.54714792199,0.000303503630988454,model
-1500.0,243515.83725251,0.000368090652384822,model
-1500.0,243635.127357097,0.000352086829116378,model
-1500.0,243754.417461685,0.000270070039238599,model
-1500.0,243873.70756627302,0.00021006132612002,model
-1500.0,243992.99767086,0.000232306268989187,model
-1500.0,244112.287775448,0.00030297527080926,model
-1500.0,244231.57788003498,0.000335463386640043,model
-1500.0,244350.867984623,0.000289223810737314,model
-1500.0,244470.158089211,0.000213397128379972,model
-1500.0,244589.448193798,0.000188581202012307,model
-1500.0,244708.73829838602,0.00023552449743271,model
-1500.0,244828.02840297302,0.000294055085361287,model
-1500.0,244947.318507561,0.000293312455138367,model
-1500.0,245066.608612149,0.000231381624045037,model
-1500.0,245185.89871673597,0.000175028154047213,model
-1500.0,245305.188821324,0.000182541991561987,model
-1500.0,245424.478925911,0.000238814796356949,model
-1500.0,245543.76903049898,0.000274780037888036,model
-1500.0,245663.059135087,0.00024657246417651,model
-1500.0,245782.34923967402,0.000183777853304399,model
-1500.0,245901.639344262,0.000153787641378423,model
-1450.0,217391.304347826,0.000374922107376486,model
-1450.0,217510.594452413,0.000436899648706386,model
-1450.0,217629.884557001,0.000598867803231228,model
-1450.0,217749.174661588,0.000699330864425276,model
-1450.0,217868.464766176,0.000637742024212765,model
-1450.0,217987.754870764,0.000487288439534498,model
