freq_THz,vg_m_per_s,lambda_geom_inv_s
193.85,1001494745.5863656,18539659766.094803
193.9,998392362.6953317,18597269504.92398
193.95,995298667.8273603,18655075547.55765
194.0,992213625.6916076,18713078877.304054
194.05,989137201.2148293,18771280483.53554
194.1,986069359.540343,18829681361.72296
194.15,983010066.0218353,18888282513.56936
194.2,979959286.2254568,18947084946.987423
194.25,976916985.9302515,19006089676.107384
194.3,973883131.1211344,19065297721.430016
194.35,970857687.9915934,19124710109.792805
194.4,967840622.9414563,19184327874.431465
194.45,964831902.5733728,19244152055.068367
194.5,961831493.694539,19304183697.89789
194.55,958839363.3130418,19364423855.678753
194.6,955855478.6369425,19424873587.773033
194.65,952879807.0726267,19485533960.20042
194.7,949912316.2248615,19546406045.658283
194.75,946952973.8924,19607490923.633404
194.8,944001748.0695947,19668789680.39162
194.85,941058606.9453834,19730303409.020832
194.9,938123518.896841,19792033209.58913
194.95,935196452.4944911,19853980189.05794
195.0,932277376.4970106,19916145461.417225
195.05,929366259.8498435,19978530147.740463
195.1,926463071.6870384,20041135376.17072
195.15,923567781.325782,20103962282.063828
195.2,920680358.2665343,20167012008.012985
195.25,917800772.1948868,20230285703.83495
195.3,914928992.9765885,20293784526.70589
195.35,912064990.656516,20357509641.213028
195.4,909208735.4590327,20421462219.375595
195.45,906360197.7862808,20485643440.711933
195.5,903519348.2165182,20550054492.306713
195.55,900686157.5033408,20614696568.858974
195.6,897860596.5742489,20679570872.745678
195.65,895042636.5285876,20744678614.100697
195.7,892232248.6390088,20810021010.813217
195.75,889429404.3468064,20875599288.668335
195.8,886634075.2634263,20941414681.34571
195.85,883846233.1686788,21007468430.494946
195.9,881065850.0078684,21073761785.83823
195.95,878292897.8944585,21140296005.142094
196.0,875527349.1046749,21207072354.381752
196.05,872769176.0781398,21274092107.76314
196.1,870018351.4192569,21341356547.72572
196.15,867274847.8916674,21408866965.114815
196.2,864538638.4187864,21476624659.20786
196.25,861809696.0860134,21544630937.698067
196.3,859087994.1348739,21612887116.878834
196.35,856373505.963461,21681394521.673946
196.4,853666205.1274571,21750154485.65248
196.45,850966065.338096,21819168351.120934
196.5,848273060.4583973,21888437469.26172
196.55,845587164.5051748,21957963200.125263
196.6,842908351.6481599,22027746912.695366
196.65,840236596.2072349,22097789985.004963
196.7,837571872.6519508,22168093804.19402
196.75,834914155.6017789,22238659766.54826
196.8,832263419.8231726,22309489277.62297
196.85,829619640.2307442,22380583752.25869
196.9,826982791.8832605,22451944614.73622
196.95,824352849.986858,22523573298.738396
197.0,821729789.8910997,22595471247.505276
197.05,819113587.0876834,22667639913.91992
197.1,816504217.2119752,22740080760.51683
197.15,813901656.0397804,22812795259.62212
197.2,811305879.4875244,22885784893.40087
197.25,808716863.6113304,22959051153.9356
197.3,806134584.6063957,23032595543.29706
197.35,803559018.8061178,23106419573.622902
197.4,800990142.6781641,23180524767.285706
197.45,798427932.8286736,23254912656.828445
197.5,795872365.9984926,23329584785.128803
197.55,793323419.0619102,23404542705.49388
197.6,790781069.0275294,23479787981.69296
197.65,788245293.0362458,23555322188.075676
197.7,785716068.3600712,23631146909.667118
197.75,783193372.4020238,23707263742.231987
197.8,780677182.6964053,23783674292.327168
197.85,778167476.905515,23860380177.463192
197.9,775664232.8198828,23937383026.16105
197.95,773167428.3582441,24014684478.016804
198.0,770677041.5663942,24092286183.801292
198.05,768193050.6162066,24170189805.556118
198.1,765715433.8032112,24248397016.736515
198.15,763244169.548904,24326909502.20644
198.2,760779236.3984802,24405728958.377743
198.25,758320613.019374,24484857093.326202
198.3,755868278.2008107,24564295626.876568
198.35,753422210.8546884,24644046290.64481
198.4,750982390.0125192,24724110828.20912
198.45,748548794.8257798,24804490995.17198
198.5,746121404.5657814,24885188559.2379
198.55,743700198.621223,24966205300.36932
198.6,741285156.4990697,25047543010.833504
198.65,738876257.8234504,25129203495.31578
198.7,736473482.3345975,25211188571.033024
198.75,734076809.8873745,25293500067.862907
198.8,731686220.4531289,25376139828.360073
198.85,729301694.1166657,25459109707.940277
198.9,726923211.0754479,25542411574.990654
198.95,724550751.6410433,25626047310.901882
199.0,722184296.2350277,25710018810.295937
199.05,719823825.3934487,25794327980.953045
199.1,717469319.760826,25878976744.11008
199.15,715120760.0919185,25963967034.485653
199.2,712778127.2517225,26049300800.367714
199.25,710441402.2136618,26134980003.76792
199.3,708110566.0596496,26221006620.509632
199.35,705785599.9781555,26307382640.39046
199.4,703466485.2647526,26394110067.254993
199.45,701153203.3221319,26481190919.087135
199.5,698845735.658264,26568627228.173214
199.55,696544063.8845352,26656421041.26922
199.6,694248169.7187426,26744574419.584
199.65,691958034.981917,26833089438.997723
199.7,689673641.5970771,26921968190.210133
199.75,687394971.5910369,27011212778.771217
199.8,685122007.091784,27100825325.284687
199.85,682854730.3294172,27190807965.47426
199.9,680593123.6339179,27281162850.375843
199.95,678337169.4361318,27371892146.404175
200.0,676086850.2659148,27462998035.533566
200.05,673842148.7523749,27554482715.396416
200.1,671603047.6232563,27646348399.417152
200.15,669369529.7042587,27738597316.95039
200.2,667141577.9176364,27831231713.450745
200.25,664919175.2836727,27924253850.524834
200.3,662702304.9178233,28017666006.164402
200.35,660490950.0311227,28111470474.846004
200.4,658285093.9309542,28205669567.614994
200.45,656084720.0180554,28300265612.331165
200.5,653889811.7876391,28395260953.741447
200.55,651700352.8291323,28490657953.611736
200.6,649516326.8236039,28586458990.961494
200.65,647337717.5452185,28682666462.12517
200.7,645164508.8612317,28779282780.876816
200.75,642996684.7285703,28876310378.708687
200.8,640834229.1959637,28973751704.86577
200.85,638677126.4029744,29071609226.518284
200.9,636525360.5779542,29169885428.98595
200.95,634378916.040372,29268582815.765053
201.0,632237777.1971973,29367703908.828056
201.05,630101928.5441641,29467251248.702534
201.1,627971354.6659105,29567227394.601456
201.15,625846040.2335389,29667634924.67628
201.2,623725970.0054312,29768476436.1202
201.25,621611128.826977,29869754545.3229
201.3,619501501.6292629,29971471888.076923
201.35,617397073.4290425,30073631119.725166
201.4,615297829.3283206,30176234915.328156
201.45,613203754.5138854,30279285969.835747
201.5,611114834.2567149,30382786998.266808
201.55,609031053.911341,30486740735.89328
201.6,606952398.916432,30591149938.364994
201.65,604878854.7927916,30696017381.96546
201.7,602810407.1440089,30801345863.737263
201.75,600747041.6554811,30907138201.690865
201.8,598688744.0949444,31013397234.938404
201.85,596635500.3104132,31120125823.96253
201.9,594587296.2311634,31227326850.730896
201.95,592544117.8670408,31335003218.898163
202.0,590505951.3073658,31443157854.032097
202.05,588472782.7210836,31551793703.77645
202.1,586444598.3564078,31660913738.041965
202.15,584421384.539986,31770520949.225323
202.2,582403127.6772009,31880618352.36903
202.25,580389814.2510384,31991208985.400753
202.3,578381430.8218017,32102295909.329548
202.35,576377964.0272831,32213882208.418365
202.4,574379400.5818167,32325970990.420452
202.45,572385727.2757356,32438565386.796284
202.5,570396930.9759157,32551668552.871086
202.55,568412998.6245848,32665283668.09208
202.6,566433917.2388849,32779413936.24631
202.65,564459673.9109493,32894062585.650948
202.7,562490255.8075876,33009232869.36775
202.75,560525650.1691942,33124928065.4656
202.8,558565844.3103256,33241151477.187912
202.85,556610825.61828,33357906433.239716
202.9,554660581.5541302,33475196287.931767
202.95,552715099.6509799,33593024421.49226
203.0,550774367.5143944,33711394240.251457
