separation_fs,V_standard,V_enz_1500nm
6.633165829145727912e+02,5.151399936569258653e-01,7.187702860394017124e-02
6.728643216080401999e+02,5.102449769625579945e-01,6.920411871944315285e-02
6.824120603015074948e+02,5.053964742036896052e-01,6.663060703475229274e-02
6.919597989949747898e+02,5.005940433907768439e-01,6.415279720298275312e-02
7.015075376884421985e+02,4.958372467341947143e-01,6.176713033426935867e-02
7.110552763819094935e+02,4.911256506043285008e-01,5.947017988411636841e-02
7.206030150753767884e+02,4.864588254920435562e-01,5.725864673183530401e-02
7.301507537688441971e+02,4.818363459695314543e-01,5.512935444200275925e-02
7.396984924623114921e+02,4.772577906515282353e-01,5.307924470213119111e-02
7.492462311557787871e+02,4.727227421569006327e-01,5.110537293000032982e-02
7.587939698492461957e+02,4.682307870705973984e-01,4.920490404434002540e-02
7.683417085427134907e+02,4.637815159059633374e-01,4.737510839278981367e-02
7.778894472361808994e+02,4.593745230674090574e-01,4.561335783128616511e-02
7.874371859296481944e+02,4.550094068134383773e-01,4.391712194924724671e-02
7.969849246231154893e+02,4.506857692200242349e-01,4.228396443513199321e-02
8.065326633165828980e+02,4.464032161443348690e-01,4.071153957715464150e-02
8.160804020100501930e+02,4.421613571888034500e-01,3.919758889412793684e-02
8.256281407035174880e+02,4.379598056655393257e-01,3.773993789159583306e-02
8.351758793969848966e+02,4.337981785610775520e-01,3.633649293859703838e-02
8.447236180904521916e+02,4.296760965014636557e-01,3.498523826057316904e-02
8.542713567839194866e+02,4.255931837176695764e-01,3.368423304410207708e-02
8.638190954773868953e+02,4.215490680113386235e-01,3.243160864929862247e-02
8.733668341708541902e+02,4.175433807208562831e-01,3.122556592587843322e-02
8.829145728643214852e+02,4.135757566877423241e-01,3.006437262902980634e-02
8.924623115577888939e+02,4.096458342233635364e-01,2.894636093138251362e-02
9.020100502512561889e+02,4.057532550759617718e-01,2.786992502749947170e-02
9.115577889447235975e+02,4.018976643979960683e-01,2.683351882745088623e-02
9.211055276381908925e+02,3.980787107137945813e-01,2.583565373615805474e-02
9.306532663316581875e+02,3.942960458875140461e-01,2.487489651531722690e-02
9.402010050251255961e+02,3.905493250914035541e-01,2.394986722483281177e-02
9.497487437185928911e+02,3.868382067743704744e-01,2.305923724080288437e-02
9.592964824120601861e+02,3.831623526308443051e-01,2.220172734721048008e-02
9.688442211055275948e+02,3.795214275699367312e-01,2.137610589857963719e-02
9.783919597989948898e+02,3.759150996848950599e-01,2.058118705095721840e-02
9.879396984924621847e+02,3.723430402228452007e-01,1.981582905867971048e-02
9.974874371859295934e+02,3.688049235548228610e-01,1.907893263447855633e-02
1.007035175879396888e+03,3.653004271460889019e-01,1.836943937056872631e-02
1.016582914572864183e+03,3.618292315267274128e-01,1.768633021845264150e-02
1.026130653266331592e+03,3.583910202625226193e-01,1.702862402525606375e-02
1.035678391959798773e+03,3.549854799261128457e-01,1.639537612449359222e-02
1.045226130653266409e+03,3.516123000684180377e-01,1.578567697923978150e-02
1.054773869346733591e+03,3.482711731903402330e-01,1.519865087575707555e-02
1.064321608040200772e+03,3.449617947147309294e-01,1.463345466570393355e-02
1.073869346733668408e+03,3.416838629586259057e-01,1.408927655511693459e-02
1.083417085427135589e+03,3.384370791057448868e-01,1.356533493842747122e-02
1.092964824120602771e+03,3.352211471792500008e-01,1.306087727583781291e-02
1.102512562814070407e+03,3.320357740147651393e-01,1.257517901244469861e-02
