separation_fs,freq_THz,I_standard,I_coherence,I_amplitude
4.000000000000000000e+02,2.223333333334016118e+02,3.072789982022503062e-03,3.116965707905130969e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.225000000000683542e+02,3.692532349335264381e-03,3.634414867682126109e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.226666666667350682e+02,4.045686602104040831e-03,3.945392806415795942e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.228333333334017823e+02,4.058790035926121940e-03,3.992601666043772354e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.230000000000684963e+02,3.713549375235139418e-03,3.761950276792383301e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.231666666667352104e+02,3.055603021340262942e-03,3.289416134833602484e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.233333333334019244e+02,2.192932556154980443e-03,2.659806211157133681e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.235000000000686668e+02,1.283194424825591243e-03,1.996846053452827272e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.236666666667353809e+02,5.110625890550521931e-04,1.445451131234475484e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.238333333334020949e+02,5.847879920543097912e-05,1.148447903561848312e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.240000000000688090e+02,7.219922880926543012e-05,1.221180040421337163e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.241666666667355230e+02,6.339305398895994951e-04,1.728143132028794708e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.243333333334022370e+02,1.738462847834462005e-03,2.665880849068235671e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.245000000000689795e+02,3.284439330903893804e-03,3.955774710887855969e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.246666666667356935e+02,5.080793649520434080e-03,5.449100688532659831e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.248333333334024076e+02,6.869615875100734854e-03,6.944948913185517922e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.250000000000691216e+02,8.363574929993743828e-03,8.219542342267517968e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.251666666667358356e+02,9.293413866925222949e-03,9.063446367063628800e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.253333333334025497e+02,9.458857779557712855e-03,9.321458200840789660e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.255000000000692921e+02,8.774916341615328699e-03,8.928902779171120699e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.256666666667360062e+02,7.305315880457818357e-03,7.937869441937995055e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.258333333334027202e+02,5.275808225509465155e-03,6.527717383931224207e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.260000000000694342e+02,3.062347236066242928e-03,4.995935957703882303e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.261666666667361483e+02,1.152384671001482463e-03,3.728000999356971285e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.263333333334028623e+02,8.143249803792290296e-05,3.147921572550916973e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.265000000000696048e+02,3.510626649863160878e-04,3.654327453432398582e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.266666666667362904e+02,2.338103995299213936e-03,5.549766312133773069e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.268333333334030044e+02,6.207407945511023498e-03,8.972939410747848149e-03,0.000000000000000000e+00
4.000000000000000000e+02,2.270000000000697185e+02,1.184175605044633997e-02,1.384456960633705797e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.271666666667364325e+02,1.880202449985812763e-02,1.983727906785079723e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.273333333334031465e+02,2.632861906854854633e-02,2.637828130161704379e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.275000000000698890e+02,3.339180821469250882e-02,3.269117546237969296e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.276666666667366030e+02,3.879478721983934536e-02,3.788041788059332005e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.278333333334033171e+02,4.133085780236638029e-02,4.106064504915946795e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.280000000000700311e+02,3.999830310648063575e-02,4.153576845409009954e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.281666666667367451e+02,3.428858612096571251e-02,3.904407931618196492e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.283333333334034592e+02,2.458981900436474702e-02,3.410898792714726901e-02,0.000000000000000000e+00
4.000000000000000000e+02,2.285000000000702016e+02,1.277954834804892123e-02,2.856218282657685750e-02,0.000000000000000000e+00
