S_fs,decay_tau_fs,rise_10_90_fs,beta_eff_inv_s,alpha_eff_inv_s,nu_rta_inv_s,lambda_ent_inv_s,beta_over_lambda
-700.0,391.2676312185748,820.267342270352,2555795369235.048,5357337697377.292,2555795369235.048,1525423728813.5593,1.675465853165198
-650.0,402.1915414289741,830.3840321881289,2486377501742.1567,5292068469925.548,2486377501742.1567,1525423728813.5593,1.6299585844754139
-600.0,416.1490391325941,842.1067393940466,2402985243182.018,5218399223160.884,2402985243182.018,1525423728813.5593,1.5752903260859896
-550.0,433.8386100117293,855.5147428972123,2305004619051.688,5136614174281.295,2305004619051.688,1525423728813.5593,1.511058583600551
-500.0,408.4166835217551,874.7934157623386,2448479801013.6455,5023413614565.098,2448479801013.6455,1525423728813.5593,1.6051145362200565
-450.0,432.7564399118728,902.361135355517,2310768616646.4478,4869945061342.973,2310768616646.4478,1525423728813.5593,1.5148372042460045
-400.0,462.5537406888719,930.630937685055,2161910956574.9487,4722010602402.315,2161910956574.9487,1525423728813.5593,1.417252738199133
-350.0,452.4542081832516,960.4522165912203,2210168414645.3623,4575395921588.848,2210168414645.3623,1525423728813.5593,1.448888182934182
-300.0,491.42770845388594,1007.0116949488,2034887294300.4534,4363851161525.852,2034887294300.4534,1525423728813.5593,1.333981670708075
-250.0,494.5523800327457,1052.8850226083014,2022030507534.4841,4173721783776.65,2022030507534.4841,1525423728813.5593,1.3255533327170508
-200.0,538.4280719303257,1109.8129630443873,1857258289700.3987,3959630407107.3286,1857258289700.3987,1525423728813.5593,1.2175359899147058
-150.0,549.7466011586433,1163.0654083162954,1819019886421.1343,3778333637343.781,1819019886421.1343,1525423728813.5593,1.1924685922094103
-100.0,563.129614320989,1215.8851296918,1775790110427.3853,3614197630483.674,1775790110427.3853,1525423728813.5593,1.1641290723912858
-50.0,573.5357828168525,1252.1409415345406,1743570375136.176,3509548333502.212,1743570375136.176,1525423728813.5593,1.1430072459226044
0.0,577.5050943378949,1257.2937410456652,1731586456646.7456,3495165060646.5796,1731586456646.7456,1525423728813.5593,1.1351511215795331
50.0,572.5634743872577,1250.6502788185026,1746531248906.8108,3513731399655.468,1746531248906.8108,1525423728813.5593,1.1449482631722425
100.0,561.428361792254,1213.1259157623865,1781171148546.3416,3622418000946.551,1781171148546.3416,1525423728813.5593,1.167656641824824
150.0,547.5492294606713,1160.1798878351692,1826319801390.254,3787730851697.692,1826319801390.254,1525423728813.5593,1.1972540920224999
200.0,536.2177868901438,1106.4909519592477,1864913892169.848,3971518381502.5776,1864913892169.848,1525423728813.5593,1.2225546626446782
250.0,492.23724645224536,1050.439458689012,2031540699545.611,4183438767767.612,2031540699545.611,1525423728813.5593,1.331787791924345
300.0,489.7774415021335,1004.7663358113203,2041743688588.491,4373603093622.8022,2041743688588.491,1525423728813.5593,1.3384764180746773
350.0,451.1127618027288,959.031045761687,2216740657045.0757,4582176118378.163,2216740657045.0757,1525423728813.5593,1.453196652951772
400.0,462.6720931491048,930.1490944269171,2161357935365.5354,4724456736024.608,2161357935365.5354,1525423728813.5593,1.4168902020729621
450.0,433.5649053797417,902.9871037135308,2306459742455.7256,4866569119979.99,2306459742455.7256,1525423728813.5593,1.5120124978320868
500.0,409.9917209260759,876.9936715901131,2439073642124.3643,5010810564578.742,2439073642124.3643,1525423728813.5593,1.59894827650375
550.0,437.22918359257,857.7588737542101,2287130039635.793,5123175392449.117,2287130039635.793,1525423728813.5593,1.4993408037612421
600.0,420.3939476182277,845.4821707375231,2378721210582.5312,5197565728487.348,2378721210582.5312,1525423728813.5593,1.559383904715215
650.0,407.25127843785145,834.9552639705653,2455486459946.386,5263095334922.466,2455486459946.386,1525423728813.5593,1.6097077904092976
700.0,397.0524765303159,825.9932091743103,2518558777768.1255,5320200100755.3955,2518558777768.1255,1525423728813.5593,1.6510551987591044
750.0,389.08737676310193,818.373780771537,2570116790524.55,5369733559315.023,2570116790524.55,1525423728813.5593,1.6848543404549827
800.0,383.0554918958982,812.1624525134685,2610587816012.221,5410800685346.338,2610587816012.221,1525423728813.5593,1.7113853460524562
850.0,378.7580144718351,807.3982804515108,2640208158748.707,5442727908975.713,2640208158748.707,1525423728813.5593,1.730803126290819
900.0,376.08225778679576,804.1161711505265,2658992758352.6377,5464943141716.546,2658992758352.6377,1525423728813.5593,1.7431174749200624
950.0,374.97779109906736,802.3718356316385,2666824605982.6104,5476823786085.493,2666824605982.6104,1525423728813.5593,1.7482516861441557
1000.0,375.2701700784474,802.0733056431636,2664746840365.589,5478862248318.604,2664746840365.589,1525423728813.5593,1.7468895953507748
