slit_separation_fs,V,Vcl_est,phi_proxy,rho12_re,rho12_im,K00,K01_re,K01_im,K11,eta00,eta01_re,eta01_im,eta11,pseudoherm_resid,cond_eta
-300.000000000106,0.0888559237167322,0.15979067349594156,0.1988484226940984,0.043552496031842386,0.008776325215304309,0.6971105349047876,-0.08733532639528019,-0.017599065428289883,0.6971105349047877,0.6757414085799048,0.29991462547260517,0.00016047792985110292,0.6733682056667862,0.1325815810052668,2.6011039072545072
-200.000000000007,0.1095022920922459,0.15979067349594156,0.21629152656350192,0.053475446292082424,0.01175009094545626,0.6991787910236068,-0.10738146848822208,-0.02359479177979428,0.6991787910236072,0.6653423407159099,0.3446660439801629,0.00020969038050392145,0.6622120837055774,0.1299849821059666,3.160210001085133
-100.000000000098,0.1332852099891449,0.15979067349594156,0.22430930499225393,0.06497307265421703,0.01482351612582004,0.7021094995441649,-0.1307239483432816,-0.02982448693184484,0.7021094995441652,-0.6540150471859119,-0.38677699221923206,-0.0002572544828679451,-0.6501290719252482,0.12667265785333529,3.9159169973701102
0.0,0.1281201620802993,0.15979067349594156,0.2681873772034191,0.061770112274218296,0.01697489948426815,0.7014226760849906,-0.12422292277359659,-0.03413740966444589,0.7014226760849906,-0.657464236761706,-0.37595071025031707,-0.00029698372712893086,-0.6529944506964017,0.1276583096541284,3.692411990606629
99.999999999909,0.1686258279982071,0.15979067349594156,0.24116351680953982,0.08187296120150764,0.02013667527464895,0.7075705634418549,-0.16532497150381825,-0.040661718070381395,0.7075705634418545,-0.6397083356602307,-0.43375095534232866,-0.00033638460995269974,-0.6345338768496361,0.1214383676922139,5.265872213419311
200.000000000007,0.1085201609336177,0.15979067349594156,0.18299636748569112,0.05335409114674733,0.009874071610493291,0.6990704400922559,-0.10713005469728708,-0.01982621780226059,0.699070440092256,0.6652180713544429,0.3441845250722245,0.00017623273885714185,0.6625872766544074,0.13000274608306803,3.1530828915618843
299.999999999916,0.1036666001736058,0.15979067349594156,0.17157299422144426,0.051072253762517526,0.008849626743856248,0.6985496443341415,-0.1025127928213724,-0.017763068713549025,0.6985496443341411,0.6675269589772508,0.33461676545568275,0.0001588350865974967,0.6651611489586381,0.13062219671183323,3.01744657545774
400.000000000015,0.168657089765607,0.15979067349594156,0.17583507533647075,0.08302826636572491,0.014751625888465259,0.707575989797145,-0.16765846789365407,-0.02978786747764049,0.7075759897971449,-0.6380739779972796,-0.43650776631944993,-0.00024559581594938703,-0.6342889784839612,0.12098985698905276,5.372343795228785
499.999999999924,0.15406823263763,0.15979067349594156,0.18717370088353452,0.07568864491626742,0.014334716870587523,0.7051588217887227,-0.15259239169747685,-0.0288995625963307,0.7051588217887231,-0.644101986416681,-0.4183633131847896,-0.0002425685495099295,-0.6403941836350718,0.12334249724541997,4.737416305379717
600.000000000022,0.1500372650673688,0.15979067349594156,0.21903276727146373,0.07322629273925238,0.016300468670847675,0.7045313932889476,-0.14756661168415755,-0.032848924076848085,0.7045313932889474,-0.6465252031079892,-0.4116559226293701,-0.00027747286180872705,-0.642296260394801,0.12414403366047966,4.5373809748116765
699.999999999931,0.1387797040574952,0.15979067349594156,0.22476683580824347,0.06764442669818331,0.01546554561745536,0.7028710268981336,-0.13616757608928756,-0.031131993608628766,0.7028710268981334,-0.6515399731809499,-0.39527161690661916,-0.00026670472119317033,-0.6474997614532267,0.12586721681373705,4.109441529347321
800.00000000003,0.1817467490416701,0.15979067349594156,0.2576774171120543,0.08787314116630868,0.023157747264575205,0.7099420569741924,-0.17772063938394542,-0.04683580893919473,0.7099420569741929,-0.6354581179070817,-0.44706779451834133,-0.00038215703064630726,-0.6295420728152324,0.11953290472458059,5.822263760636956
899.999999999939,0.1017530945834285,0.15979067349594156,0.2776878616901302,0.048927560445557725,0.013946931317402116,0.6983510128570352,-0.09819495512844063,-0.027990733288564867,0.698351012857035,0.6705456981080723,0.32517714088673866,0.0002517911589767191,0.6668044918810132,0.1312442634979708,2.8933900516502837
1000.00000000003,0.1561057875107666,0.15979067349594156,0.30037485651549667,0.07455812572950764,0.023094157514230385,0.7054826081318364,-0.15034554835507655,-0.0465690860828779,0.705482608131836,-0.6462571495058849,-0.415213631309531,-0.0003923920630415816,-0.6402727411921812,0.12382972922224407,4.6416765994321265
1099.99999999994,0.1488562311680605,0.15979067349594156,0.3201868577761216,0.07064542735443853,0.02342579738874462,0.7043508594458859,-0.14234853510473852,-0.047202318208337625,0.7043508594458856,-0.6498148491906425,-0.4041916135524004,-0.00040168516005787764,-0.6437154961256423,0.125062623163655,4.332785517933319
1200.00000000004,0.1633381809085954,0.15979067349594156,0.3410266985439469,0.07696591274211428,0.02731462266635781,0.7066680380340321,-0.15532309957933488,-0.05512299802893371,0.7066680380340322,-0.6447408269934378,-0.4215127288819057,-0.0004620151588159673,-0.6376802270247526,0.12314935936999376,4.837604394605561
1299.99999999995,0.1339303418556857,0.15979067349594156,0.34269796147945364,0.06307124669549866,0.022502265611950265,0.7021972608171835,-0.12690493620017804,-0.04527655201792316,0.7021972608171833,-0.6569180496635444,-0.3803362571692792,-0.0003928257793149349,-0.6510014233430029,0.1273571139137043,3.780201764023541
