t_fs,lambda_t,tau_ent_t
2.608200000000000273e+03,4.750000000000000000e+15,2.663895000001090375e+04
2.608400000000000091e+03,4.750000000000000000e+15,2.663990000001090448e+04
2.608599999999999909e+03,4.750000000000000000e+15,2.664085000001090521e+04
2.608799999999999727e+03,4.750000000000000000e+15,2.664180000001090593e+04
2.609000000000000000e+03,4.750000000000000000e+15,2.664275000001090666e+04
2.609199999999999818e+03,4.750000000000000000e+15,2.664370000001090739e+04
2.609399999999999636e+03,4.750000000000000000e+15,2.664465000001090812e+04
2.609599999999999909e+03,4.750000000000000000e+15,2.664560000001090884e+04
2.609800000000000182e+03,4.750000000000000000e+15,2.664655000001090957e+04
2.610000000000000000e+03,4.750000000000000000e+15,2.664750000001091030e+04
2.610199999999999818e+03,4.750000000000000000e+15,2.664845000001091103e+04
2.610399999999999636e+03,4.750000000000000000e+15,2.664940000001091175e+04
2.610599999999999909e+03,4.750000000000000000e+15,2.665035000001091248e+04
2.610800000000000182e+03,4.750000000000000000e+15,2.665130000001091321e+04
2.611000000000000000e+03,4.750000000000000000e+15,2.665225000001091394e+04
2.611199999999999818e+03,4.750000000000000000e+15,2.665320000001091466e+04
2.611400000000000091e+03,4.750000000000000000e+15,2.665415000001091539e+04
2.611599999999999909e+03,4.750000000000000000e+15,2.665510000001091612e+04
2.611799999999999727e+03,4.750000000000000000e+15,2.665605000001091685e+04
2.612000000000000000e+03,4.750000000000000000e+15,2.665700000001091757e+04
2.612200000000000273e+03,4.750000000000000000e+15,2.665795000001091830e+04
2.612400000000000091e+03,4.750000000000000000e+15,2.665890000001091903e+04
2.612599999999999909e+03,4.750000000000000000e+15,2.665985000001091976e+04
2.612799999999999727e+03,4.750000000000000000e+15,2.666080000001092048e+04
2.613000000000000000e+03,4.750000000000000000e+15,2.666175000001092121e+04
2.613199999999999818e+03,4.750000000000000000e+15,2.666270000001092194e+04
2.613399999999999636e+03,4.750000000000000000e+15,2.666365000001092267e+04
2.613599999999999909e+03,4.750000000000000000e+15,2.666460000001092340e+04
2.613800000000000182e+03,4.750000000000000000e+15,2.666555000001092412e+04
2.614000000000000000e+03,4.750000000000000000e+15,2.666650000001092485e+04
2.614199999999999818e+03,4.750000000000000000e+15,2.666745000001092558e+04
2.614399999999999636e+03,4.750000000000000000e+15,2.666840000001092631e+04
2.614599999999999909e+03,4.750000000000000000e+15,2.666935000001092703e+04
2.614800000000000182e+03,4.750000000000000000e+15,2.667030000001092776e+04
2.615000000000000000e+03,4.750000000000000000e+15,2.667125000001092849e+04
2.615199999999999818e+03,4.750000000000000000e+15,2.667220000001092922e+04
2.615400000000000091e+03,4.750000000000000000e+15,2.667315000001092994e+04
2.615599999999999909e+03,4.750000000000000000e+15,2.667410000001093067e+04
2.615799999999999727e+03,4.750000000000000000e+15,2.667505000001093140e+04
2.615999999999999545e+03,4.750000000000000000e+15,2.667600000001093213e+04
2.616200000000000273e+03,4.750000000000000000e+15,2.667695000001093285e+04
2.616400000000000091e+03,4.750000000000000000e+15,2.667790000001093358e+04
2.616599999999999909e+03,4.750000000000000000e+15,2.667885000001093431e+04
2.616799999999999727e+03,4.750000000000000000e+15,2.667980000001093504e+04
2.617000000000000000e+03,4.750000000000000000e+15,2.668075000001093576e+04
2.617199999999999818e+03,4.750000000000000000e+15,2.668170000001093649e+04
2.617400000000000091e+03,4.750000000000000000e+15,2.668265000001093722e+04
2.617599999999999909e+03,4.750000000000000000e+15,2.668360000001093795e+04
2.617800000000000182e+03,4.750000000000000000e+15,2.668455000001093867e+04
2.618000000000000000e+03,4.750000000000000000e+15,2.668550000001093940e+04
2.618199999999999818e+03,4.750000000000000000e+15,2.668645000001094013e+04
2.618399999999999636e+03,4.750000000000000000e+15,2.668740000001094086e+04
2.618599999999999909e+03,4.750000000000000000e+15,2.668835000001094159e+04
2.618800000000000182e+03,4.750000000000000000e+15,2.668930000001094231e+04
2.619000000000000000e+03,4.750000000000000000e+15,2.669025000001094304e+04
2.619199999999999818e+03,4.750000000000000000e+15,2.669120000001094377e+04
2.619400000000000091e+03,4.750000000000000000e+15,2.669215000001094450e+04
2.619599999999999909e+03,4.750000000000000000e+15,2.669310000001094522e+04
2.619799999999999727e+03,4.750000000000000000e+15,2.669405000001094595e+04
2.620000000000000000e+03,4.750000000000000000e+15,2.669500000001094668e+04
2.620200000000000273e+03,4.750000000000000000e+15,2.669595000001094741e+04
2.620400000000000091e+03,4.750000000000000000e+15,2.669690000001094813e+04
2.620599999999999909e+03,4.750000000000000000e+15,2.669785000001094886e+04
2.620799999999999727e+03,4.750000000000000000e+15,2.669880000001094959e+04
2.621000000000000000e+03,4.750000000000000000e+15,2.669975000001095032e+04
2.621199999999999818e+03,4.750000000000000000e+15,2.670070000001095104e+04
2.621400000000000091e+03,4.750000000000000000e+15,2.670165000001095177e+04
2.621599999999999909e+03,4.750000000000000000e+15,2.670260000001095250e+04
2.621800000000000182e+03,4.750000000000000000e+15,2.670355000001095323e+04
2.622000000000000000e+03,4.750000000000000000e+15,2.670450000001095395e+04
2.622199999999999818e+03,4.750000000000000000e+15,2.670545000001095468e+04
2.622399999999999636e+03,4.750000000000000000e+15,2.670640000001095541e+04
2.622599999999999909e+03,4.750000000000000000e+15,2.670735000001095614e+04
2.622800000000000182e+03,4.750000000000000000e+15,2.670830000001095686e+04
2.623000000000000000e+03,4.750000000000000000e+15,2.670925000001095759e+04
2.623199999999999818e+03,4.750000000000000000e+15,2.671020000001095832e+04
2.623400000000000091e+03,4.750000000000000000e+15,2.671115000001095905e+04
2.623599999999999909e+03,4.750000000000000000e+15,2.671210000001095977e+04
2.623799999999999727e+03,4.750000000000000000e+15,2.671305000001096050e+04
2.624000000000000000e+03,4.750000000000000000e+15,2.671400000001096123e+04
2.624200000000000273e+03,4.750000000000000000e+15,2.671495000001096196e+04
2.624400000000000091e+03,4.750000000000000000e+15,2.671590000001096269e+04
2.624599999999999909e+03,4.750000000000000000e+15,2.671685000001096341e+04
2.624799999999999727e+03,4.750000000000000000e+15,2.671780000001096414e+04
2.625000000000000000e+03,4.750000000000000000e+15,2.671875000001096487e+04
2.625199999999999818e+03,4.750000000000000000e+15,2.671970000001096560e+04
2.625400000000000091e+03,4.750000000000000000e+15,2.672065000001096632e+04
2.625599999999999909e+03,4.750000000000000000e+15,2.672160000001096705e+04
2.625800000000000182e+03,4.750000000000000000e+15,2.672255000001096778e+04
2.626000000000000000e+03,4.750000000000000000e+15,2.672350000001096851e+04
2.626199999999999818e+03,4.750000000000000000e+15,2.672445000001096923e+04
2.626399999999999636e+03,4.750000000000000000e+15,2.672540000001096996e+04
2.626600000000000364e+03,4.750000000000000000e+15,2.672635000001097069e+04
2.626800000000000182e+03,4.750000000000000000e+15,2.672730000001097142e+04
2.627000000000000000e+03,4.750000000000000000e+15,2.672825000001097214e+04
2.627199999999999818e+03,4.750000000000000000e+15,2.672920000001097287e+04
2.627400000000000091e+03,4.750000000000000000e+15,2.673015000001097360e+04
2.627599999999999909e+03,4.750000000000000000e+15,2.673110000001097433e+04
2.627799999999999727e+03,4.750000000000000000e+15,2.673205000001097505e+04
2.628000000000000000e+03,4.750000000000000000e+15,2.673300000001097578e+04
2.628200000000000273e+03,4.750000000000000000e+15,2.673395000001097651e+04
2.628400000000000091e+03,4.750000000000000000e+15,2.673490000001097724e+04
2.628599999999999909e+03,4.750000000000000000e+15,2.673585000001097796e+04
2.628799999999999727e+03,4.750000000000000000e+15,2.673680000001097869e+04
2.629000000000000000e+03,4.750000000000000000e+15,2.673775000001097942e+04
2.629200000000000273e+03,4.750000000000000000e+15,2.673870000001098015e+04
2.629400000000000091e+03,4.750000000000000000e+15,2.673965000001098088e+04
2.629599999999999909e+03,4.750000000000000000e+15,2.674060000001098160e+04
