wavelength_nm,v_g_over_c,enhancement,V_standard,V_enz
1.127054108216432951e+03,6.864980087257173125e-01,1.456668464131756879e+00,4.493289641172215632e-01,3.118182567528134941e-01
1.129258517034068063e+03,6.849884970455420996e-01,1.459878529804733427e+00,4.493289641172215632e-01,3.110185184116001644e-01
1.131462925851703403e+03,6.834726921272755717e-01,1.463116246660197239e+00,4.493289641172215632e-01,3.102139689032737957e-01
1.133667334669338743e+03,6.819505520060527015e-01,1.466381978954867771e+00,4.493289641172215632e-01,3.094045660596604352e-01
1.135871743486973855e+03,6.804220341653216542e-01,1.469676097757043998e+00,4.493289641172215632e-01,3.085902671710037404e-01
1.138076152304609195e+03,6.788870955266771423e-01,1.472998981110703154e+00,4.493289641172215632e-01,3.077710289771148910e-01
1.140280561122244535e+03,6.773456924394518630e-01,1.476351014204449585e+00,4.493289641172215632e-01,3.069468076583504179e-01
1.142484969939879647e+03,6.757977806700560253e-01,1.479732589545494248e+00,4.493289641172215632e-01,3.061175588264127279e-01
1.144689378757514987e+03,6.742433153910576404e-01,1.483144107138837819e+00,4.493289641172215632e-01,3.052832375149692745e-01
1.146893787575150327e+03,6.726822511699983576e-01,1.486585974671840837e+00,4.493289641172215632e-01,3.044437981700885976e-01
1.149098196392785667e+03,6.711145419579340743e-01,1.490058607704377147e+00,4.493289641172215632e-01,3.035991946404860697e-01
1.151302605210420779e+03,6.695401410776941065e-01,1.493562429864767394e+00,4.493289641172215632e-01,3.027493801675780749e-01
1.153507014028056119e+03,6.679590012118471476e-01,1.497097873051708605e+00,4.493289641172215632e-01,3.018943073753370121e-01
1.155711422845691459e+03,6.663710743903713540e-01,1.500665377642402376e+00,4.493289641172215632e-01,3.010339282599482358e-01
1.157915831663326571e+03,6.647763119780119023e-01,1.504265392707127447e+00,4.493289641172215632e-01,3.001681941792582742e-01
1.160120240480961911e+03,6.631746646613210228e-01,1.507898376230481396e+00,4.493289641172215632e-01,2.992970558420128269e-01
1.162324649298597251e+03,6.615660824353705172e-01,1.511564795339536804e+00,4.493289641172215632e-01,2.984204632968819881e-01
1.164529058116232591e+03,6.599505145901253256e-01,1.515265126539175222e+00,4.493289641172215632e-01,2.975383659212635923e-01
1.166733466933867703e+03,6.583279096964660404e-01,1.518999855954866085e+00,4.493289641172215632e-01,2.966507124098625159e-01
1.168937875751503043e+03,6.566982155918538178e-01,1.522769479583164554e+00,4.493289641172215632e-01,2.957574507630411076e-01
1.171142284569138155e+03,6.550613793656219208e-01,1.526574503550225170e+00,4.493289641172215632e-01,2.948585282749356384e-01
1.173346693386773495e+03,6.534173473438830149e-01,1.530415444378638634e+00,4.493289641172215632e-01,2.939538915213304460e-01
1.175551102204408835e+03,6.517660650740429995e-01,1.534292829262898783e+00,4.493289641172215632e-01,2.930434863472916596e-01
1.177755511022044175e+03,6.501074773089033920e-01,1.538207196353846173e+00,4.493289641172215632e-01,2.921272578545466292e-01
