wavelength_nm,v_g_over_c,enhancement,V_standard,V_enz
1.486372745490981970e+03,2.835746704847250665e-01,3.526408047272563628e+00,4.493289641172215632e-01,5.953883812255888336e-02
1.488577154308617082e+03,2.787201727940690765e-01,3.587827856072852928e+00,4.493289641172215632e-01,5.668405726000810829e-02
1.490781563126252422e+03,2.737722235780140623e-01,3.652671505277964137e+00,4.493289641172215632e-01,5.381854308331117387e-02
1.492985971943887762e+03,2.687256608178756889e-01,3.721267246888391611e+00,4.493289641172215632e-01,5.094473824756385466e-02
1.495190380761523102e+03,2.635748202310257970e-01,3.793989119004200106e+00,4.493289641172215632e-01,4.806546730274645352e-02
1.497394789579158441e+03,2.583134639082726447e-01,3.871265496076119916e+00,4.493289641172215632e-01,4.518399278187754803e-02
1.499599198396793554e+03,2.529346953492605521e-01,3.953589675070741549e+00,4.493289641172215632e-01,4.230408015330914401e-02
1.501803607214428894e+03,2.474308575849324954e-01,4.041533096399435365e+00,4.493289641172215632e-01,3.943007310222521739e-02
1.504008016032064006e+03,2.417934100790730401e-01,4.135762011350816891e+00,4.493289641172215632e-01,3.656698082279564305e-02
1.506212424849699346e+03,2.360127787404274480e-01,4.237058710705762898e+00,4.493289641172215632e-01,3.372057922298689336e-02
1.508416833667334686e+03,2.300781714951428414e-01,4.346348867002843619e+00,4.493289641172215632e-01,3.089752814448712762e-02
1.510621242484970026e+03,2.239773492275017597e-01,4.464737186367289112e+00,4.493289641172215632e-01,2.810550683424005436e-02
1.512825651302605365e+03,2.176963381273735454e-01,4.593554529221813176e+00,4.493289641172215632e-01,2.535336988710308256e-02
1.515030060120240478e+03,2.112190640065832181e-01,4.734421131460142540e+00,4.493289641172215632e-01,2.265132555948152701e-02
1.517234468937875590e+03,2.045268810308952523e-01,4.889332859131327425e+00,4.493289641172215632e-01,2.001113746238760566e-02
1.519438877755510930e+03,1.975979550179959576e-01,5.060781119465160849e+00,4.493289641172215632e-01,1.744634870364744628e-02
1.521643286573146270e+03,1.904064423516740046e-01,5.251923136891740285e+00,4.493289641172215632e-01,1.497252372113416427e-02
1.523847695390781610e+03,1.829213750478830558e-01,5.466829667873596144e+00,4.493289641172215632e-01,1.260749583592645807e-02
1.526052104208416949e+03,1.751051121711042491e-01,5.710855540430186394e+00,4.493289641172215632e-01,1.037159528168571897e-02
1.528256513026052062e+03,1.669111316424439218e-01,5.991212150800069303e+00,4.493289641172215632e-01,8.287808324189689657e-03
1.530460921843687402e+03,1.582807825433229787e-01,6.317886378444523388e+00,4.493289641172215632e-01,6.381774389888181416e-03
1.532665330661322514e+03,1.491383286668860608e-01,6.705184434737701871e+00,4.493289641172215632e-01,4.681449251856138229e-03
1.534869739478957854e+03,1.393830360238887123e-01,7.174474229622972210e+00,4.493289641172215632e-01,3.216120743664578965e-03
1.537074148296593194e+03,1.288758126398457105e-01,7.759407909958899729e+00,4.493289641172215632e-01,2.014213810979887786e-03
1.539278557114228533e+03,1.174149655477713383e-01,8.516801885813618966e+00,4.493289641172215632e-01,1.098904495455798507e-03
1.541482965931863873e+03,1.046877637751774948e-01,9.552214737794503918e+00,4.493289641172215632e-01,4.799772791745950378e-04
1.543687374749498986e+03,9.015950494856476982e-02,1.109145398003783889e+01,4.493289641172215632e-01,1.400987279805794496e-04
1.545891783567134098e+03,7.275918828266640659e-02,1.374396861211592658e+01,4.493289641172215632e-01,1.678248307386314409e-05
1.548096192384769438e+03,4.954813139962033208e-02,2.018239581902098934e+01,4.493289641172215632e-01,9.725624357563528162e-08
1.550300601202404778e+03,nan,nan,4.493289641172215632e-01,nan
1.552505010020040118e+03,nan,nan,4.493289641172215632e-01,nan
1.554709418837675457e+03,nan,nan,4.493289641172215632e-01,nan
1.556913827655310570e+03,nan,nan,4.493289641172215632e-01,nan
1.559118236472945910e+03,nan,nan,4.493289641172215632e-01,nan
1.561322645290581022e+03,nan,nan,4.493289641172215632e-01,nan
1.563527054108216362e+03,nan,nan,4.493289641172215632e-01,nan
1.565731462925851702e+03,nan,nan,4.493289641172215632e-01,nan
1.567935871743487041e+03,nan,nan,4.493289641172215632e-01,nan
1.570140280561122381e+03,nan,nan,4.493289641172215632e-01,nan
1.572344689378757494e+03,nan,nan,4.493289641172215632e-01,nan
1.574549098196392833e+03,nan,nan,4.493289641172215632e-01,nan
1.576753507014027946e+03,nan,nan,4.493289641172215632e-01,nan
1.578957915831663286e+03,nan,nan,4.493289641172215632e-01,nan
1.581162324649298625e+03,nan,nan,4.493289641172215632e-01,nan
1.583366733466933965e+03,nan,nan,4.493289641172215632e-01,nan
1.585571142284569078e+03,nan,nan,4.493289641172215632e-01,nan
1.587775551102204417e+03,nan,nan,4.493289641172215632e-01,nan
1.589979959919839530e+03,nan,nan,4.493289641172215632e-01,nan
1.592184368737474870e+03,nan,nan,4.493289641172215632e-01,nan
1.594388777555110210e+03,nan,nan,4.493289641172215632e-01,nan
1.596593186372745549e+03,nan,nan,4.493289641172215632e-01,nan
1.598797595190380889e+03,nan,nan,4.493289641172215632e-01,nan
1.601002004008016002e+03,nan,nan,4.493289641172215632e-01,nan
1.603206412825651341e+03,nan,nan,4.493289641172215632e-01,nan
1.605410821643286454e+03,nan,nan,4.493289641172215632e-01,nan
1.607615230460921794e+03,nan,nan,4.493289641172215632e-01,nan
1.609819639278557133e+03,nan,nan,4.493289641172215632e-01,nan
1.612024048096192473e+03,nan,nan,4.493289641172215632e-01,nan
1.614228456913827813e+03,nan,nan,4.493289641172215632e-01,nan
1.616432865731462925e+03,nan,nan,4.493289641172215632e-01,nan
1.618637274549098038e+03,nan,nan,4.493289641172215632e-01,nan
1.620841683366733378e+03,nan,nan,4.493289641172215632e-01,nan
1.623046092184368717e+03,nan,nan,4.493289641172215632e-01,nan
1.625250501002004057e+03,nan,nan,4.493289641172215632e-01,nan
1.627454909819639397e+03,nan,nan,4.493289641172215632e-01,nan
1.629659318637274509e+03,nan,nan,4.493289641172215632e-01,nan
1.631863727454909849e+03,nan,nan,4.493289641172215632e-01,nan
1.634068136272544962e+03,nan,nan,4.493289641172215632e-01,nan
1.636272545090180301e+03,nan,nan,4.493289641172215632e-01,nan
1.638476953907815641e+03,nan,nan,4.493289641172215632e-01,nan
1.640681362725450981e+03,nan,nan,4.493289641172215632e-01,nan
1.642885771543086321e+03,nan,nan,4.493289641172215632e-01,nan
