t_s,tau_ent_s,lambda_s_inv,norm2
2.274999999999996e-13,0.22750000000000015,1000000000000.0,0.6344478175971647
2.299999999999996e-13,0.23000000000000015,1000000000000.0,0.6312834942617724
2.3249999999999956e-13,0.23250000000000015,1000000000000.0,0.6281349530630561
2.3499999999999955e-13,0.23500000000000015,1000000000000.0,0.6250021152872394
2.3749999999999954e-13,0.23750000000000016,1000000000000.0,0.6218849026131332
2.3999999999999953e-13,0.24000000000000016,1000000000000.0,0.6187832371101774
2.424999999999995e-13,0.24250000000000016,1000000000000.0,0.6156970412364916
2.449999999999995e-13,0.24500000000000016,1000000000000.0,0.6126262378369384
2.474999999999995e-13,0.24750000000000016,1000000000000.0,0.6095707501411927
2.499999999999995e-13,0.25000000000000017,1000000000000.0,0.6065305017618231
2.524999999999995e-13,0.25250000000000017,1000000000000.0,0.6035054166923831
2.5499999999999947e-13,0.25500000000000017,1000000000000.0,0.6004954193055092
2.5749999999999946e-13,0.2575000000000002,1000000000000.0,0.597500434351032
2.5999999999999945e-13,0.2600000000000002,1000000000000.0,0.5945203869540933
2.6249999999999944e-13,0.2625000000000002,1000000000000.0,0.5915552026132753
2.6499999999999943e-13,0.2650000000000002,1000000000000.0,0.5886048071987381
2.674999999999994e-13,0.2675000000000002,1000000000000.0,0.5856691269503658
2.699999999999994e-13,0.2700000000000002,1000000000000.0,0.5827480884759227
2.724999999999994e-13,0.2725000000000002,1000000000000.0,0.5798416187492188
2.749999999999994e-13,0.2750000000000002,1000000000000.0,0.5769496451082837
2.7749999999999937e-13,0.2775000000000002,1000000000000.0,0.5740720952535509
2.7999999999999936e-13,0.2800000000000002,1000000000000.0,0.5712088972460487
2.8249999999999935e-13,0.2825000000000002,1000000000000.0,0.5683599795056036
2.8499999999999934e-13,0.2850000000000002,1000000000000.0,0.5655252708090494
2.8749999999999933e-13,0.2875000000000002,1000000000000.0,0.562704700288447
2.899999999999993e-13,0.2900000000000002,1000000000000.0,0.5598981974293133
2.924999999999993e-13,0.2925000000000002,1000000000000.0,0.5571056920688574
2.949999999999993e-13,0.2950000000000002,1000000000000.0,0.5543271143942272
2.974999999999993e-13,0.2975000000000002,1000000000000.0,0.551562394940764
2.999999999999993e-13,0.3000000000000002,1000000000000.0,0.5488114645902651
