figure_ref,series,slit_separation_fs,rise_10_90_fs,decay_tau_fs,peak_delay_fs,error
Fig_2g,raw,1000.0,802.0733056431636,375.2701700784474,230155.345538699,
Fig_2g,raw,1050.0,803.0979185848264,376.7702451673907,230155.345538699,
Fig_2g,raw,1100.0,805.1118584238575,379.1186180553193,230155.345538699,
Fig_2g,raw,1150.0,807.7950593632995,382.0037768799355,230155.345538699,
Fig_2g,raw,1200.0,810.7763489816862,385.0932296548322,230155.345538699,
Fig_2g,raw,1250.0,813.7498902108055,388.1242831772706,230155.345538699,
Fig_2g,raw,1300.0,816.491911309422,390.903994541762,230155.345538699,
Fig_2g,raw,1350.0,818.8365184336144,393.27525827222087,230155.345538699,
Fig_2g,raw,1400.0,820.7331840062398,395.1848951136015,230155.345538699,
Fig_2g,raw,1450.0,822.2010256653011,396.64487476458555,230155.345538699,
Fig_2g,raw,1500.0,823.2679949426674,397.67416109029193,230155.345538699,
