Delay_fs,Slit_separation_fs,Reflectivity
-2756.81559244238,600.666666666711,0.0941205491908328
-2756.81559244238,801.999999999907,0.0939972903379143
-2756.81559244238,1001.99999999991,0.0940388267846408
-2756.81559244238,1203.99999999998,0.094768999304703
-2756.81559244238,1403.99999999999,0.0939892952369108
-2756.81559244238,1604.0,0.0944211265805232
-2756.81559244238,1804.00000000001,0.0944366105730159
-2756.81559244238,2006.66666666658,0.0957820894373537
-2756.81559244238,2205.9999999999,0.16365938833945
-2690.14892577577,-2401.33333333327,0.093939791171737
-2690.14892577577,-2201.33333333346,0.0939370789686669
-2690.14892577577,-2001.33333333345,0.0939043438113949
-2690.14892577577,-1800.66666666675,0.0943464252772823
-2690.14892577577,-1600.66666666674,0.0936817573814635
-2690.14892577577,-1400.66666666674,0.0943663678807285
-2690.14892577577,-1200.66666666673,0.0938467957032107
-2690.14892577577,-1000.66666666672,0.0940412822303415
-2690.14892577577,-800.666666666719,0.0935950993246874
-2690.14892577577,-600.666666666711,0.0940077968918946
-2690.14892577577,-400.666666666704,0.0942729748871765
-2690.14892577577,-200.666666666696,0.0939556085405708
-2690.14892577577,0.0,0.0940681004780252
-2690.14892577577,200.666666666696,0.0939907999830307
-2690.14892577577,400.666666666704,0.0946785323790585
-2690.14892577577,600.666666666711,0.094220786202474
-2690.14892577577,801.999999999907,0.094189130255817
-2690.14892577577,1001.99999999991,0.0937665310654842
-2690.14892577577,1203.99999999998,0.0939537431455152
-2690.14892577577,1403.99999999999,0.0938963580924652
-2690.14892577577,1604.0,0.0946500480979831
-2690.14892577577,1804.00000000001,0.0951067623285228
-2690.14892577577,2006.66666666658,0.0967272871337762
-2690.14892577577,2205.9999999999,0.305049866730642
-2623.48225910917,-2401.33333333327,0.0943024540449943
-2623.48225910917,-2201.33333333346,0.094170004292992
-2623.48225910917,-2001.33333333345,0.0940215023611168
-2623.48225910917,-1800.66666666675,0.0940017128913046
-2623.48225910917,-1600.66666666674,0.0938768096113118
-2623.48225910917,-1400.66666666674,0.0941938695930504
-2623.48225910917,-1200.66666666673,0.0939793839206385
-2623.48225910917,-1000.66666666672,0.0942255203201171
-2623.48225910917,-800.666666666719,0.0938017438362536
-2623.48225910917,-600.666666666711,0.0942003913093474
-2623.48225910917,-400.666666666704,0.094240533882562
-2623.48225910917,-200.666666666696,0.0939046874836133
-2623.48225910917,0.0,0.0942581807988442
-2623.48225910917,200.666666666696,0.0942882890580953
-2623.48225910917,400.666666666704,0.0947508372648279
-2623.48225910917,600.666666666711,0.0943482304029892
-2623.48225910917,801.999999999907,0.0939022242658379
-2623.48225910917,1001.99999999991,0.0938248397122059
-2623.48225910917,1203.99999999998,0.0945037579779117
-2623.48225910917,1403.99999999999,0.0938929475550543
-2623.48225910917,1604.0,0.0944377191720835
-2623.48225910917,1804.00000000001,0.0949686653169582
-2623.48225910917,2006.66666666658,0.106028413798186
-2623.48225910917,2205.9999999999,0.477529098142799
-2556.81559244256,-2401.33333333327,0.0944008486442141
-2556.81559244256,-2201.33333333346,0.0941738913651566
-2556.81559244256,-2001.33333333345,0.0939891218574248
-2556.81559244256,-1800.66666666675,0.0939318672375518
-2556.81559244256,-1600.66666666674,0.0939146009808449
-2556.81559244256,-1400.66666666674,0.0942404410668107
-2556.81559244256,-1200.66666666673,0.0940853933940196
-2556.81559244256,-1000.66666666672,0.09407418188923
-2556.81559244256,-800.666666666719,0.0941850125706817
-2556.81559244256,-600.666666666711,0.0937092031409263
-2556.81559244256,-400.666666666704,0.0943819883531334
-2556.81559244256,-200.666666666696,0.0936256173334717
-2556.81559244256,0.0,0.0939464148753419
-2556.81559244256,200.666666666696,0.0942175674011742
-2556.81559244256,400.666666666704,0.0941138112158948
-2556.81559244256,600.666666666711,0.094067280378932
-2556.81559244256,801.999999999907,0.0939363797408354
-2556.81559244256,1001.99999999991,0.0940408081464226
-2556.81559244256,1203.99999999998,0.0940245119093336
-2556.81559244256,1403.99999999999,0.093695136385225
-2556.81559244256,1604.0,0.094570178674201
-2556.81559244256,1804.00000000001,0.0968204078626215
-2556.81559244256,2006.66666666658,0.164254666790412
-2556.81559244256,2205.9999999999,0.57204630481016
-2490.14892577596,-2401.33333333327,0.0941561998370905
-2490.14892577596,-2201.33333333346,0.0943461185626037
-2490.14892577596,-2001.33333333345,0.0940741942716701
-2490.14892577596,-1800.66666666675,0.0937018582743317
-2490.14892577596,-1600.66666666674,0.0940310227805356
-2490.14892577596,-1400.66666666674,0.0940547679543188
-2490.14892577596,-1200.66666666673,0.0940533155994806
-2490.14892577596,-1000.66666666672,0.0939141699119086
-2490.14892577596,-800.666666666719,0.093836427470776
-2490.14892577596,-600.666666666711,0.0936787934960653
-2490.14892577596,-400.666666666704,0.0943355188059829
-2490.14892577596,-200.666666666696,0.093898713504864
-2490.14892577596,0.0,0.0938164649108839
-2490.14892577596,200.666666666696,0.0940955940171728
-2490.14892577596,400.666666666704,0.0942226972296424
-2490.14892577596,600.666666666711,0.0939518646198138
-2490.14892577596,801.999999999907,0.0937280313433507
-2490.14892577596,1001.99999999991,0.0936032102443269
-2490.14892577596,1203.99999999998,0.0937487968054972
-2490.14892577596,1403.99999999999,0.0939136949909703
-2490.14892577596,1604.0,0.0941542389637302
-2490.14892577596,1804.00000000001,0.0971576017926996
-2490.14892577596,2006.66666666658,0.294999818095967
-2490.14892577596,2205.9999999999,0.581530817307304
-2423.48225910935,-2401.33333333327,0.0944157118767246
-2423.48225910935,-2201.33333333346,0.0945285119487889
-2423.48225910935,-2001.33333333345,0.0939016944974565
-2423.48225910935,-1800.66666666675,0.0942530970330438
-2423.48225910935,-1600.66666666674,0.0942833716029018
-2423.48225910935,-1400.66666666674,0.0940562999106925
-2423.48225910935,-1200.66666666673,0.0941596305756669
-2423.48225910935,-1000.66666666672,0.0939216471071105
-2423.48225910935,-800.666666666719,0.0940474438690467
-2423.48225910935,-600.666666666711,0.0939950538026195
-2423.48225910935,-400.666666666704,0.0944649905631381
-2423.48225910935,-200.666666666696,0.0938708349373677
