series,delay_fs,reflectivity
modelled,-6316.31631631631,0.0938496767836933
modelled,-6296.29629629629,0.0938496767836933
modelled,-6276.27627627627,0.0938496767836933
modelled,-6256.25625625625,0.0938496767836933
modelled,-6236.23623623623,0.0938496767836933
modelled,-6216.21621621621,0.0938496767836933
modelled,-6196.19619619619,0.0938496767836933
modelled,-6176.17617617617,0.0938496767836933
modelled,-6156.15615615615,0.0938496767836933
modelled,-6136.13613613613,0.0938496767836933
modelled,-6116.11611611611,0.0938496767836933
modelled,-6096.09609609609,0.0938496767836933
modelled,-6076.07607607607,0.0938496767836933
modelled,-6056.05605605605,0.0938496767836933
modelled,-6036.03603603603,0.0938496767836933
modelled,-6016.01601601601,0.0938496767836933
modelled,-5995.99599599599,0.0938496767836933
modelled,-5975.97597597597,0.0938496767836933
modelled,-5955.95595595595,0.0938496767836933
modelled,-5935.93593593593,0.0938496767836933
modelled,-5915.91591591591,0.0938496767836933
modelled,-5895.89589589589,0.0938496767836933
modelled,-5875.87587587587,0.0938496767836933
modelled,-5855.85585585585,0.0938496767836933
modelled,-5835.83583583583,0.0938496767836933
modelled,-5815.81581581581,0.0938496767836933
modelled,-5795.79579579579,0.0938496767836933
modelled,-5775.77577577577,0.0938496767836933
modelled,-5755.75575575575,0.0938496767836933
modelled,-5735.73573573573,0.0938496767836933
modelled,-5715.71571571571,0.0938496767836933
modelled,-5695.69569569569,0.0938496767836933
modelled,-5675.67567567567,0.0938496767836933
modelled,-5655.65565565565,0.0938496767836933
modelled,-5635.63563563563,0.0938496767836933
modelled,-5615.61561561561,0.0938496767836933
modelled,-5595.59559559559,0.0938496767836933
modelled,-5575.57557557557,0.0938496767836933
modelled,-5555.55555555555,0.0938496767836933
modelled,-5535.53553553553,0.0938496767836933
modelled,-5515.51551551551,0.0938496767836933
modelled,-5495.49549549549,0.0938496767836933
modelled,-5475.47547547547,0.0938496767836933
modelled,-5455.45545545545,0.0938496767836933
modelled,-5435.43543543543,0.0938496767836933
modelled,-5415.41541541541,0.0938496767836933
modelled,-5395.39539539539,0.0938496767836933
modelled,-5375.37537537537,0.0938496767836933
modelled,-5355.35535535535,0.0938496767836933
modelled,-5335.33533533533,0.0938496767836933
modelled,-5315.31531531531,0.0938496767836933
modelled,-5295.29529529529,0.0938496767836933
modelled,-5275.27527527527,0.0938496767836933
modelled,-5255.25525525525,0.0938496767836933
modelled,-5235.23523523523,0.0938496767836933
modelled,-5215.21521521521,0.0938496767836933
modelled,-5195.19519519519,0.0938496767836933
modelled,-5175.17517517517,0.0938496767836933
modelled,-5155.15515515515,0.0938496767836933
modelled,-5135.13513513513,0.0938496767836933
modelled,-5115.11511511511,0.0938496767836933
modelled,-5095.09509509509,0.0938496767836933
modelled,-5075.07507507507,0.0938496767836933
modelled,-5055.05505505505,0.0938496767836933
modelled,-5035.03503503503,0.0938496767836933
modelled,-5015.01501501501,0.0938496767836933
modelled,-4994.99499499499,0.0938496767836933
modelled,-4974.97497497497,0.0938496767836933
modelled,-4954.95495495495,0.0938496767836933
modelled,-4934.93493493493,0.0938496767836933
modelled,-4914.91491491491,0.0938496767836933
modelled,-4894.89489489489,0.0938496767836933
modelled,-4874.87487487487,0.0938496767836933
modelled,-4854.85485485485,0.0938496767836933
modelled,-4834.83483483483,0.0938496767836933
modelled,-4814.81481481481,0.0938496767836933
modelled,-4794.79479479479,0.0938496767836933
modelled,-4774.77477477477,0.0938496767836933
modelled,-4754.75475475475,0.0938496767836933
modelled,-4734.73473473473,0.0938496767836933
modelled,-4714.71471471471,0.0938496767836933
modelled,-4694.69469469469,0.0938496767836933
modelled,-4674.67467467467,0.0938496767836933
modelled,-4654.65465465465,0.0938496767836933
modelled,-4634.63463463463,0.0938496767836933
modelled,-4614.61461461461,0.0938496767836933
modelled,-4594.59459459459,0.0938496767836933
modelled,-4574.57457457457,0.0938496767836933
modelled,-4554.55455455455,0.0938496767836933
modelled,-4534.53453453453,0.0938496767836933
modelled,-4514.51451451451,0.0938496767836933
modelled,-4494.49449449449,0.0938496767836933
modelled,-4474.47447447447,0.0938496767836933
modelled,-4454.45445445445,0.0938496767836933
modelled,-4434.43443443443,0.0938496767836933
modelled,-4414.41441441441,0.0938496767836933
modelled,-4394.39439439439,0.0938496767836933
modelled,-4374.37437437437,0.0938496767836933
